,size,day,for,while,if,elif,def,[,{,(,list,set,lambda,map,lines
0,700,6,2,0,3,0,2,0,0,16,3,4,0,0,33
1,988,2,2,0,2,0,4,2,0,24,3,0,0,0,34
2,316,3,1,0,1,0,1,2,0,8,1,0,0,0,8
3,2053,7,13,1,8,0,4,22,2,31,2,2,0,0,78
4,510,25,0,2,0,0,3,2,0,7,1,0,0,0,33
5,4232,11,17,2,12,2,8,66,0,87,2,0,0,0,166
6,355,15,2,0,2,0,1,4,1,6,1,0,0,0,14
7,1581,8,3,1,8,3,3,27,1,27,10,1,2,0,56
8,1803,21,14,1,7,0,3,21,5,41,5,7,1,0,71
9,2485,14,14,0,6,0,10,28,5,57,7,23,0,0,94
10,897,9,5,0,6,0,4,8,0,19,4,0,0,0,32
11,2973,20,7,0,11,6,14,39,5,90,3,16,0,0,110
12,2392,24,12,0,9,0,8,21,5,50,3,7,0,0,101
13,1438,10,6,0,14,0,7,10,0,27,5,0,0,0,57
14,2058,17,12,1,6,1,4,24,0,49,2,7,0,0,78
15,1495,23,8,0,2,0,5,16,0,37,2,0,0,2,58
16,987,13,5,1,9,0,3,7,0,17,2,0,0,0,44
17,1597,12,4,0,7,4,5,29,1,25,2,0,0,0,54
18,2451,16,15,1,13,5,6,41,7,47,3,1,0,0,83
19,1596,22,3,2,10,3,4,34,0,49,2,2,0,4,65
20,3339,19,10,0,10,4,8,44,10,54,2,4,0,0,112
21,2126,4,2,0,14,0,3,23,5,55,0,6,0,0,64
22,1592,18,4,3,7,0,4,22,1,40,4,0,2,0,57
23,1158,5,3,0,7,0,3,2,0,19,4,2,0,0,45
24,856,1,5,0,2,0,2,5,0,12,0,0,0,0,28
